ID,SiteID,Toponym,Type,Period,subOcc,StartDate,EndDate,duration,Longitude,Latitude,Long_Cord,Lat_Cord,Notes,LocQual,Sources,surveyLink
CY1, ,Akanthou Arkosyko,settlement,IAN,0,-9000,-8500,500,567763.362,3918114.145,33.74627928,35.40410679, ,A,Hadjisavvas 1991; Stanley Price 1979, F 1; Stanley Price 1979
CY1, ,Akanthou Arkosyko,settlement,AEN_1,0,-8500,-7900,600,567763.362,3918114.145,33.74627928,35.40410679, ,A,Hadjisavvas 1991; Stanley Price 1979, F 1; Stanley Price 1979
CY1, ,Akanthou Arkosyko,settlement,AEN_2,0,-7900,-7600,300,567763.362,3918114.145,33.74627928,35.40410679, ,A,Hadjisavvas 1991; Stanley Price 1979, F 1; Stanley Price 1979
CY1, ,Akanthou Arkosyko,settlement,AEN_3,0,-7600,-6800,800,567763.362,3918114.145,33.74627928,35.40410679, ,A,Hadjisavvas 1991; Stanley Price 1979, F 1; Stanley Price 1979
CY1, ,Akanthou Arkosyko,settlement,LAN,0,-6800,-5500,1300,567763.362,3918114.145,33.74627928,35.40410679, ,A,Hadjisavvas 1991; Stanley Price 1979, F 1; Stanley Price 1979
CY1, ,Akanthou Arkosyko,settlement,CN,0,-5500,-3900,1600,567763.362,3918114.145,33.74627928,35.40410679, ,A,Hadjisavvas 1991; Stanley Price 1979, F 1; Stanley Price 1979
CY1, ,Akanthou Arkosyko,settlement,Ech,0,-3900,-3400,500,567763.362,3918114.145,33.74627928,35.40410679, ,A,Hadjisavvas 1991; Stanley Price 1979, F 1; Stanley Price 1979
CY1, ,Akanthou Arkosyko,settlement,MCh,0,-3400,-2750,650,567763.362,3918114.145,33.74627928,35.40410679, ,A,Hadjisavvas 1991; Stanley Price 1979, F 1; Stanley Price 1979
CY1, ,Akanthou Arkosyko,settlement,LCh,0,-2750,-2500,250,567763.362,3918114.145,33.74627928,35.40410679, ,A,Hadjisavvas 1991; Stanley Price 1979, F 1; Stanley Price 1979
CY2, ,Parekklesia Shillourokambos,settlement,IAN,0,-9000,-8500,500,514722.457,3844284.102,33.160833,34.740556, ,A,Tomazou et al. 1998, NERD 2787;  
CY2, ,Parekklesia Shillourokambos,settlement,AEN_1,0,-8500,-7900,600,514722.457,3844284.102,33.160833,34.740556, ,A,Tomazou et al. 1998, NERD 2787;  
CY2, ,Parekklesia Shillourokambos,settlement,AEN_2,0,-7900,-7600,300,514722.457,3844284.102,33.160833,34.740556, ,A,Tomazou et al. 1998, NERD 2787;  
CY2, ,Parekklesia Shillourokambos,settlement,AEN_3,0,-7600,-6800,800,514722.457,3844284.102,33.160833,34.740556, ,A,Tomazou et al. 1998, NERD 2787;  
CY2, ,Parekklesia Shillourokambos,settlement,LAN,0,-6800,-5500,1300,514722.457,3844284.102,33.160833,34.740556, ,A,Tomazou et al. 1998, NERD 2787;  
CY2, ,Parekklesia Shillourokambos,settlement,CN,0,-5500,-3900,1600,514722.457,3844284.102,33.160833,34.740556, ,A,Tomazou et al. 1998, NERD 2787;  
CY2, ,Parekklesia Shillourokambos,settlement,Ech,0,-3900,-3400,500,514722.457,3844284.102,33.160833,34.740556, ,A,Tomazou et al. 1998, NERD 2787;  
CY2, ,Parekklesia Shillourokambos,settlement,MCh,0,-3400,-2750,650,514722.457,3844284.102,33.160833,34.740556, ,A,Tomazou et al. 1998, NERD 2787;  
CY2, ,Parekklesia Shillourokambos,settlement,LCh,0,-2750,-2500,250,514722.457,3844284.102,33.160833,34.740556, ,A,Tomazou et al. 1998, NERD 2787;  
CY3, ,Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou,settlement,LC_IIA,0,-1550,-1450,100,452402.0,3847439.0,32.47985389,34.76800139, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,80-E-56; Sorensen & Rupp 1993
CY3, ,Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou,settlement,LC_IIB,0,-1450,-1300,150,452402.0,3847439.0,32.47985389,34.76800139, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,80-E-56; Sorensen & Rupp 1993
CY3, ,Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou,settlement,LC_IIC,0,-1300,-1200,100,452402.0,3847439.0,32.47985389,34.76800139, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,80-E-56; Sorensen & Rupp 1993
CY3, ,Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou,settlement,LC_IIIA,0,-1200,-1100,100,452402.0,3847439.0,32.47985389,34.76800139, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,80-E-56; Sorensen & Rupp 1993
